Dimension,Standard,Recursive,Strassen
64,0.0016426,0.287641,0.222157
96,0.0061281,2.36172,1.76676
128,0.0155302,2.46121,1.64758
160,0.0296039,19.6951,11.9718
192,0.0534129,19.5157,11.9156
224,0.0837638,19.653,11.871
256,0.126448,19.6718,11.877
288,0.180584,158.278,84.0676
320,0.253576,161.507,85.6576
352,0.365895,163.306,87.2862
384,0.44132,158.282,83.2455
416,0.554163,155.779,83.3932
448,0.700655,156.858,82.2722
480,0.845819,156.18,88.3933
512,73.03659,156.989,82.4961
