n,avg_height,avg_build_time,avg_destroy_time
10,5.56,0.14,0.14
50,10.46,4,1.72
100,13.54,9.14,4.48
500,19.3,37.78,25.34
1000,22.08,89.54,56.7
5000,28.3,591.52,347.68
10000,31.04,1358.16,779.52
20000,34.34,3017.68,1663.6
30000,35.38,4875.34,2701.62
40000,36.96,6879.88,3731.12
50000,37.86,8834.36,4755.22
60000,39,10921,5856.9
70000,39.56,12919.4,6947.52
80000,40.54,15687,8091.36
90000,40.88,17486.2,9170.64
100000,41.02,20776.8,10687.6
