Dimension,Standard,Recursive,Strassen
64,20480,65536,32768
96,32768,90112,16384
128,61440,245760,20480
160,102400,184320,159744
192,4096,303104,18446744073709363200
224,229376,389120,18446744073709314048
256,135168,573440,18446744073709494272
288,262144,405504,1130496
320,532480,520192,18446744073709391872
352,536576,135168,565248
384,540672,479232,376832
416,540672,229376,606208
448,1073152,843776,18446744073709547520
480,1073152,249856,217088
512,1077248,745472,18446744073709445120
